Component,Description,References,Value,Footprint,Quantity Per PCB,Datasheet,MANUFACTURER
1,CAP CER 0.1UF 25V X5R 0402,C2,100nF,C_0402_1005Metric,1,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL05A104KA5NNNC.pdf,Samsung Electro-Mechanics
2,CONN HEADER SMD 12POS 1MM,J1,FTMH-106-03-L-DV,SAMTEC_FTMH-106-03-L-DV,1,https://www.digikey.com/en/products/detail/samtec-inc/FTMH-106-03-L-DV/1104447,SAMTEC
3,RES SMD 10K OHM 5% 1/5W 0402,R1 R2 R3 R4,10k,R_0402_1005Metric,4,https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/esr-e.pdf,Rohm Semiconductor
4,INEMO INERTIAL MODULE,U2,ISM330DLCTR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,https://www.digikey.com/en/products/detail/stmicroelectronics/ISM330DLCTR/7565501,STMicroelectronics
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Component Groups:,4,,,,,,
Component Count:,7,,,,,,
Fitted Components:,7,,,,,,
Number of PCBs:,1,,,,,,
Total components:,7,,,,,,
Schematic Version:,,,,,,,
Schematic Date:,,,,,,,
PCB Variant:,default,,,,,,
BoM Date:,Fri 04 Aug 2023 09:19:59 AM,,,,,,
Schematic Source:,GyroHat.kicad_sch,,,,,,
KiCad Version:,Eeschema 6.0.2+dfsg-1,,,,,,
